word,layer_1,layer_2
recession,0.031,0.045
doping,0.012,0.012
avalanche,0.008,0.002
Facebook,0.019,0.018
pretty,0.014,0.014
Room,0.094,0.061
Shooting,0.005,0.012
Nato,0.001,0.01
4th,0.042,0.038
Philip,0.061,0.067
+,0.024,0.014
cares,0.005,0.005
girlfriend,0.001,0.006
Us,0.043,0.04
Sanctions,0.087,0.118
expands,0.057,0.056
Brazil,0.068,0.102
Are,0.117,0.001
Voting,0.001,0.006
tough,0.015,0.014
Thailand,0.007,0.016
weighs,0.006,0.049
delay,0.035,0.105
Voice,0.025,0.013
transfer,0.043,0.052
Zimmerman,0.012,0.018
Trayvon,0.021,0.012
hostages,0.034,0.044
Manchester,0.007,0.018
Reveal,0.066,0.074
Life,0.026,0.014
Libya,0.016,0.031
delays,0.064,0.032
lashes,0.008,0.03
reactor,0.019,0.01
switches,0.02,0.084
Ryanair,0.053,0.059
hails,0.004,0.021
weakens,0.038,0.076
leads,0.015,0.043
Unrest,0.04,0.076
waters,0.034,0.013
journalist,0.029,0.061
Station,0.043,0.012
Up,0.009,0.014
Million,0.017,0.018
Opposition,0.029,0.044
Questions,0.02,0.036
KL,0.012,0.018
kidnapped,0.019,0.022
Afghans,0.044,0.099
sees,0.01,0.016
trip,0.087,0.112
ally,0.034,0.068
reforms,0.017,0.062
zone,0.003,0.016
sells,0.002,0.007
Brown,0.039,0.014
ca,0.008,0.012
Berlin,0.005,0.024
Pak,0.025,0.025
answers,0.033,0.04
N,0.013,0.055
motorway,0.026,0.019
Votes,0.005,0.005
Bain,0.012,0.023
Livestrong,0.023,0.002
ignore,0.005,0.005
rating,0.042,0.038
uniform,0.043,0.062
delayed,0.004,0.005
memorial,0.008,0.009
Arrest,0.025,0.042
Maldives,0.017,0.052
Son,0.012,0.014
Work,0.021,0.01
slams,0.01,0.012
Northeast,0.027,0.052
buildings,0.032,0.015
Roadside,0.002,0.017
postpones,0.022,0.017
ceasefire,0.032,0.022
Twitter,0.017,0.013
Venezuelan,0.003,0.009
terrorists,0.044,0.055
revenge,0.034,0.02
DealBook,0.039,0.017
mortar,0.013,0.049
Bombs,0.019,0.028
gunman,0.004,0.015
Rebels,0.024,0.052
ambush,0.005,0.005
easiest,0.106,0.09
 ,0.011,0.011
mexico,0.052,0.046
spain,0.026,0.092
osce,0.006,0.002
cfe,0.011,0.009
executed,0.076,0.114
heroin,0.024,0.016
hell,0.032,0.009
british,0.014,0.007
russia,0.014,0.009
nato,0.019,0.029
europe,0.011,0.023
suspend,0.006,0.014
ratify,0.051,0.05
withdraw,0.013,0.009
soviet,0.019,0.057
moldova,0.093,0.033
georgia,0.005,0.005
withdraws,0.019,0.066
2008,0.004,0.009
2009,0.002,0.034
traffickers,0.009,0.019
proliferation,0.004,0.01
afghanistan,0.007,0.014
cyber,0.009,0.007
iran,0.007,0.009
islamic,0.019,0.005
tanks,0.102,0.107
african,0.035,0.021
u.n,0.029,0.049
pakistan,0.007,0.049
putin,0.01,0.043
vladimir,0.002,0.004
myanmar,0.004,0.006
nicaragua,0.022,0.047
executions,0.023,0.031
japanese,0.007,0.014
japan,0.006,0.003
korea,0.02,0.018
iaea,0.041,0.012
enhance,0.013,0.006
french,0.007,0.012
iranian,0.024,0.03
ratified,0.008,0.002
opium,0.029,0.026
that--,0.007,0.013
organized,0.05,0.127
lasted,0.016,0.015
aimed,0.033,0.022
china,0.013,0.003
syria,0.022,0.029
chinese,0.027,0.023
korean,0.021,0.02
washington,0.011,0.049
britain,0.004,0.008
kashmir,0.001,0.005
india,0.016,0.01
israel,0.012,0.014
i,0.011,0.015
iraq,0.007,0.004
london,0.003,0.011
vietnam,0.005,0.005
stated--,0.01,0.006
collaboration,0.074,0.134
american,0.009,0.016
page,0.015,0.014
april,0.006,0.011
france,0.015,0.016
saudi,0.001,0.005
arabia,0.005,0.012
u.s,0.011,0.016
africa,0.001,0.001
website,0.029,0.031
institute,0.048,0.087
plutonium,0.057,0.033
indian,0.015,0.012
satellites,0.084,0.092
estonia,0.017,0.049
typhoon,0.028,0.053
hanged,0.021,0.062
embargo,0.087,0.067
education,0.011,0.002
jordan,0.007,0.01
criminals,0.026,0.016
reasonable,0.08,0.087
belgium,0.021,0.025
germany,0.041,0.062
italy,0.09,0.069
siemens,0.109,0.075
reviewed,0.026,0.073
hacking,0.017,0.008
liberal,0.053,0.042
ahmad,0.004,0.009
smuggling,0.176,0.192
israeli,0.051,0.032
REQUIREMENTS,0.019,0.017
OK,0.018,0.016
Originally,0.025,0.004
Posted,0.03,0.01
Imagine,0.015,0.029
NOT,0.014,0.023
Well,0.045,0.023
Neener,0.065,0.018
Hi,0.058,0.029
Jews,0.016,0.021
Why,0.042,0.014
wonders,0.002,0.002
Z,0.052,0.046
morals,0.005,0.002
ha,0.004,0.008
Titanic,0.044,0.019
Should,0.043,0.014
helpful,0.089,0.06
guest,0.003,0.002
english,0.005,0.005
Chuck,0.003,0.01
Does,0.04,0.009
Got,0.001,0.007
stories,0.005,0.008
stupid,0.014,0.008
IS,0.013,0.038
THE,0.006,0.018
nullification,0.043,0.033
amazing,0.016,0.034
nukes,0.044,0.044
Shot,0.028,0.031
ok,0.014,0.014
'd,0.024,0.023
Again,0.012,0.003
nonsensical,0.0,0.0
rear,0.004,0.01
logic,0.005,0.001
Read,0.005,0.015
u,0.048,0.028
Or,0.024,0.02
iceberg,0.002,0.01
Out,0.019,0.034
Dutch,0.044,0.031
Did,0.031,0.011
Was,0.018,0.059
gotten,0.017,0.011
Stop,0.021,0.007
cows,0.011,0.02
Would,0.098,0.044
Jury,0.005,0.008
S,0.016,0.019
Holder,0.132,0.085
Breathe,0.034,0.035
Little,0.014,0.034
Love,0.049,0.109
quote,0.029,0.055
Say,0.074,0.052
Genetic,0.015,0.003
Use,0.004,0.009
rehabilitation,0.0,0.0
Charlie,0.035,0.019
climate,0.034,0.04
Season,0.009,0.004
Because,0.014,0.01
riot,0.042,0.108
videos,0.039,0.047
Warsaw,0.014,0.064
mask,0.105,0.151
ideology,0.012,0.003
normalizing,0.055,0.097
learning,0.022,0.032
Op,0.032,0.005
Columnist,0.018,0.013
Hits,0.02,0.025
Assault,0.054,0.117
Car,0.112,0.128
Powerful,0.032,0.032
v.,0.134,0.363
Opinionator,0.067,0.053
Beijing,0.004,0.009
prayer,0.019,0.035
Oprah,0.019,0.01
Hard,0.014,0.015
Back,0.006,0.054
Calls,0.006,0.019
NYTimes,0.023,0.019
Victims,0.027,0.028
245,0.05,0.015
outsources,0.041,0.045
surfs,0.009,0.008
NRA,0.03,0.03
Gun,0.022,0.017
app,0.004,0.009
Broken,0.026,0.031
limbs,0.188,0.236
Piers,0.032,0.018
brown,0.022,0.03
tunnel,0.061,0.034
Briefing,0.063,0.016
|,0.025,0.076
Sight,0.005,0.002
Opinion,0.015,0.015
220,0.05,0.067
Gosling,0.015,0.012
Path,0.017,0.016
Breaks,0.024,0.057
Silence,0.032,0.057
Dreamliner,0.017,0.019
happy,0.011,0.005
Design,0.003,0.006
Disruptions,0.013,0.011
Driving,0.006,0.006
Interesting,0.046,0.054
Pictures,0.027,0.006
MT,0.024,0.007
Admits,0.048,0.128
Doping,0.032,0.069
Says,0.028,0.053
Testify,0.045,0.112
Cycling,0.074,0.156
Delhi,0.022,0.013
sad,0.008,0.006
Subway,0.015,0.024
Cars,0.046,0.047
Train,0.045,0.036
Aaron,0.025,0.022
Bad,0.009,0.001
Help,0.013,0.007
Contributor,0.006,0.004
Live,0.025,0.015
U.S,0.025,0.039
Video,0.038,0.028
Blog,0.043,0.029
Hagel,0.014,0.007
Producer,0.049,0.055
Sign,0.008,0.006
Rome,0.011,0.01
colorful,0.006,0.008
maid,0.036,0.078
FAA,0.003,0.043
IHT,0.018,0.007
Returns,0.004,0.002
politics,0.037,0.049
Good,0.025,0.013
grief,0.046,0.027
Subways,0.006,0.005
Stir,0.011,0.02
Soul,0.001,0.0
Need,0.005,0.036
commits,0.02,0.022
Generation,0.079,0.072
Know,0.012,0.027
Killing,0.015,0.004
Editorial,0.042,0.012
Don?t,0.11,0.056
Ink,0.259,0.238
Kim,0.025,0.04
Bits,0.056,0.009
Unveils,0.001,0.02
Search,0.009,0.006
Tool,0.121,0.152
Graph,0.016,0.022
NYT,0.008,0.016
Review,0.1,0.059
Shell,0.009,0.004
Deal,0.006,0.02
Teen,0.006,0.004
Confronts,0.082,0.005
Unaffordable,0.017,0.026
Luxury,0.074,0.066
Flu,0.013,0.016
Exercise,0.157,0.189
Boost,0.019,0.082
Potency,0.102,0.08
Official,0.019,0.015
Preppers,0.032,0.046
Disabled,0.031,0.017
Athletes,0.037,0.074
Logistics,0.031,0.036
Top,0.006,0.007
unconstitutional,0.281,0.262
Slurs,0.051,0.026
Study,0.009,0.005
Economic,0.011,0.008
Ex,0.009,0.003
Boss,0.011,0.019
Gatorade,0.04,0.064
Changes,0.095,0.104
Firm,0.143,0.049
Boom,0.003,0.001
Hip,0.072,0.035
Maker,0.007,0.0
Obama?s,0.002,0.002
Pauline,0.043,0.027
Phillips,0.074,0.141
Dear,0.033,0.029
Abby,0.026,0.014
Flinty,0.111,0.089
Adviser,0.032,0.058
Fight,0.003,0.01
calorie,0.051,0.08
restaurants,0.002,0.001
Deadly,0.017,0.068
Launches,0.018,0.025
Airstrikes,0.011,0.035
favorite,0.001,0.008
787,0.016,0.013
defends,0.008,0.038
listen,0.041,0.028
Foster,0.06,0.059
Laws,0.01,0.005
Happens,0.011,0.013
Cast,0.058,0.119
Lindsay,0.011,0.033
Lohan,0.047,0.057
Here,0.084,0.051
Image,0.049,0.048
Manti,0.028,0.008
Te'o,0.004,0.0
Becomes,0.005,0.009
Kobe,0.005,0.086
Climbs,0.006,0.021
Linked,0.015,0.014
Grades,0.003,0.001
Works,0.031,0.003
Rise,0.03,0.055
Tax,0.029,0.016
Economy,0.022,0.031
Probably,0.064,0.066
Guns,0.01,0.009
Speed,0.035,0.058
Apps,0.02,0.007
Ban,0.025,0.044
Lifting,0.058,0.13
Dog,0.003,0.047
Discovers,0.014,0.022
Spy,0.028,0.025
unveils,0.012,0.006
cry,0.059,0.045
stomach,0.006,0.018
Too,0.098,0.121
Banned,0.001,0.0
Weapons,0.03,0.034
Sarah,0.079,0.062
Palin,0.039,0.065
programmer,0.086,0.129
articles,0.009,0.002
Readers,0.005,0.017
refund,0.073,0.096
Newtown,0.01,0.007
Miss,0.016,0.015
Nepal,0.006,0.016
Seek,0.015,0.018
Fast,0.008,0.001
Golden,0.011,0.024
iPhone,0.01,0.013
Creating,0.002,0.019
mistakes,0.018,0.009
Biden,0.072,0.111
ArtsBeat,0.021,0.013
Looks,0.052,0.011
Border,0.008,0.011
Test,0.006,0.021
Helicopter,0.016,0.018
Crusader,0.046,0.041
Defendant,0.023,0.012
Feel,0.017,0.059
honest,0.056,0.037
Social,0.016,0.008
options,0.016,0.026
guys,0.011,0.006
Rivals,0.002,0.027
Switch,0.04,0.046
Weak,0.207,0.116
incomplete,0.072,0.079
Rarely,0.036,0.009
Manning,0.015,0.017
Riss,0.001,0.025
Pugach,0.016,0.029
Headlines,0.028,0.104
FIFA,0.01,0.004
Boy,0.089,0.05
stuff,0.02,0.023
Hugo,0.031,0.063
hero,0.004,0.008
Violence,0.047,0.052
x,0.017,0.017
Wars,0.056,0.032
Hire,0.035,0.028
Jewish,0.005,0.01
Interview,0.054,0.053
ski,0.006,0.031
App,0.02,0.032
beer,0.014,0.026
Veterans,0.018,0.023
Small,0.01,0.001
tribute,0.117,0.049
Which,0.005,0.003
stars,0.003,0.001
Break,0.009,0.007
winter,0.032,0.02
ten,0.008,0.021
Housing,0.005,0.005
Abrams,0.032,0.025
algorithms,0.057,0.133
truly,0.008,0.014
Thai,0.018,0.051
Decision,0.037,0.027
Single,0.086,0.042
info,0.008,0.003
Benghazi,0.009,0.037
Algeria,0.023,0.058
Older,0.063,0.037
Battery,0.002,0.013
skier,0.034,0.059
classic,0.016,0.026
Premier,0.05,0.07
pants,0.013,0.014
posters,0.051,0.058
Quebec,0.01,0.024
cool,0.024,0.053
noticed,0.01,0.01
loves,0.011,0.012
eligible,0.012,0.016
Sentenced,0.032,0.016
decker,0.047,0.027
lamb,0.003,0.021
jockey,0.016,0.02
moped,0.01,0.029
sleeps,0.031,0.004
sheep,0.009,0.019
smiling,0.015,0.013
wheelie,0.037,0.027
tent,0.004,0.011
mountains,0.012,0.014
trough,0.006,0.012
helmet,0.025,0.037
shorts,0.012,0.019
sit,0.066,0.065
grassy,0.046,0.022
horses,0.028,0.029
crowded,0.08,0.108
tan,0.016,0.032
ducks,0.007,0.001
sofa,0.023,0.014
cruise,0.057,0.058
docked,0.005,0.004
shore,0.018,0.004
grey,0.037,0.039
purple,0.017,0.03
dressed,0.032,0.019
blonde,0.013,0.036
bald,0.007,0.006
eagles,0.032,0.002
striped,0.026,0.062
mountain,0.039,0.044
goats,0.066,0.082
cloudy,0.01,0.007
bookstore,0.024,0.015
jacket,0.021,0.024
collar,0.04,0.04
bedroom,0.001,0.008
sailing,0.028,0.016
dryer,0.064,0.042
infant,0.013,0.014
outdoors,0.02,0.006
Tan,0.021,0.012
cabinets,0.027,0.037
newborn,0.078,0.033
bikini,0.045,0.013
jeans,0.013,0.007
chairs,0.008,0.007
ears,0.025,0.023
Couple,0.028,0.015
sailboat,0.002,0.013
horned,0.007,0.068
icy,0.024,0.047
feeder,0.008,0.01
beam,0.04,0.045
fountain,0.074,0.086
paved,0.03,0.043
clad,0.035,0.152
forest,0.033,0.041
snowy,0.04,0.064
flapping,0.004,0.01
wings,0.041,0.042
formation,0.024,0.002
bikes,0.047,0.04
steam,0.007,0.013
planes,0.027,0.028
boats,0.015,0.014
pond,0.093,0.082
pile,0.049,0.041
bright,0.012,0.023
beard,0.028,0.036
backpack,0.009,0.019
hats,0.002,0.01
fashioned,0.013,0.012
receptacle,0.018,0.039
auction,0.016,0.008
bathroom,0.016,0.018
airliner,0.016,0.017
ferris,0.075,0.064
leash,0.025,0.008
railing,0.003,0.002
dock,0.014,0.012
wires,0.03,0.061
Mall,0.048,0.058
detains,0.003,0.002
tourist,0.01,0.039
Jerusalem,0.015,0.018
Protest,0.025,0.033
Beckham,0.015,0.008
resume,0.046,0.062
wildfire,0.011,0.028
2020,0.079,0.072
explosions,0.033,0.056
Brotherhood,0.031,0.009
Rouhani,0.009,0.016
CENC,0.002,0.003
Chemical,0.006,0.009
Belfast,0.007,0.011
Snowden,0.023,0.036
Moderate,0.02,0.023
tensions,0.076,0.053
Missing,0.025,0.018
Modi,0.052,0.065
Marathon,0.006,0.005
pays,0.027,0.027
declares,0.013,0.021
Kabul,0.031,0.038
reveals,0.004,0.003
Musharraf,0.02,0.042
Record,0.01,0.001
Thatcher,0.034,0.043
Cameron,0.017,0.022
stadium,0.021,0.008
Typhoon,0.02,0.037
Mother,0.0,0.003
shutdown,0.006,0.002
sends,0.01,0.038
uncle,0.006,0.013
League,0.055,0.023
pub,0.023,0.011
prays,0.008,0.004
Lenin,0.011,0.07
Sinai,0.015,0.008
Pistorius,0.004,0.007
Hakimullah,0.027,0.072
eruption,0.01,0.019
Papers,0.009,0.014
detain,0.025,0.015
capsizes,0.014,0.011
Mars,0.017,0.032
conditional,0.007,0.01
solo,0.059,0.069
Kashmir,0.002,0.011
museum,0.007,0.007
Merkel,0.01,0.038
Sudanese,0.012,0.005
mall,0.02,0.018
accusations,0.029,0.037
kidnappers,0.045,0.04
Yellen,0.032,0.043
Janet,0.053,0.078
Doris,0.055,0.039
Lessing,0.039,0.02
wage,0.034,0.036
southwest,0.023,0.012
Kiev,0.053,0.093
marathon,0.025,0.032
racetrack,0.128,0.126
leaping,0.105,0.148
leaps,0.022,0.061
referee,0.013,0.009
imagine,0.033,0.019
balls,0.004,0.009
electricity,0.004,0.005
disbursing,0.014,0.073
furnace,0.082,0.042
ON,0.006,0.017
bubble,0.008,0.022
wet,0.035,0.068
stranded,0.016,0.017
predicting,0.002,0.031
obstacle,0.043,0.066
foundation,0.036,0.01
screw,0.096,0.092
derived,0.117,0.18
PhD,0.012,0.016
Stars,0.044,0.011
collision,0.021,0.024
solar,0.006,0.007
myself,0.005,0.002
probabilities,0.005,0.014
grater,0.011,0.013
bulb,0.046,0.018
obvious,0.043,0.028
Dynamic,0.08,0.044
lots,0.02,0.002
spouse,0.014,0.026
construct,0.115,0.242
outdoor,0.026,0.031
diaper,0.0,0.005
splashing,0.03,0.034
Danios,0.002,0.022
god,0.025,0.016
lens,0.014,0.008
super,0.006,0.008
elsewhere,0.012,0.018
switch,0.017,0.034
anyway,0.035,0.046
worn,0.015,0.037
hockey,0.063,0.083
random,0.09,0.114
supposed,0.031,0.051
oldest,0.043,0.061
volleyball,0.023,0.014
pit,0.024,0.01
Frisbee,0.049,0.033
ramp,0.005,0.008
trunks,0.007,0.003
surfer,0.033,0.042
playground,0.047,0.03
pathway,0.015,0.016
Bulb,0.049,0.035
Bulbs,0.038,0.057
c,0.016,0.02
paths,0.072,0.079
terminals,0.027,0.026
burns,0.001,0.004
bulbs,0.049,0.055
Measuring,0.009,0.001
z,0.011,0.002
postive,0.067,0.143
Terminals,0.015,0.003
X.,0.0,0.021
b,0.022,0.028
circut,0.027,0.026
seperated,0.008,0.009
Cory,0.065,0.04
Monteith,0.079,0.087
Crimea,0.012,0.017
Rudd,0.009,0.037
Karen,0.021,0.034
Earthquake,0.102,0.146
Margaret,0.087,0.049
ferry,0.007,0.011
Äď,0.065,0.137
MH17,0.003,0.023
visa,0.015,0.025
MERS,0.017,0.003
america,0.003,0.002
rhetoric,0.015,0.019
obama,0.006,0.007
deficit,0.054,0.019
admin,0.029,0.056
fox,0.009,0.005
leviticus,0.05,0.02
recommendation,0.011,0.008
operators,0.003,0.007
resale,0.0,0.001
Newman,0.008,0.003
Eatonville,0.009,0.002
naive,0.058,0.087
dominant,0.023,0.07
anthem,0.064,0.011
ÚOHS,0.009,0.002
GFCI,0.019,0.019
IRA,0.026,0.024
asparagus,0.014,0.012
fixture,0.022,0.005
transit,0.009,0.002
Schengen,0.019,0.031
berries,0.001,0.015
floors,0.039,0.056
disadvantages,0.014,0.026
Ebola,0.006,0.013
Vector,0.005,0.02
vector,0.006,0.005
Inheritance,0.001,0.013
inheritance,0.024,0.034
reuse,0.104,0.088
Bayes,0.036,0.025
theorem,0.012,0.015
interpretations,0.01,0.024
dimension,0.018,0.038
corresponds,0.028,0.012
B.,0.002,0.004
tf,0.02,0.107
idf,0.036,0.025
weighting,0.009,0.013
algebraic,0.017,0.003
vectors,0.036,0.025
retrieval,0.014,0.019
filtering,0.003,0.0
Programming,0.015,0.017
SMART,0.005,0.003
Retrieval,0.211,0.178
retrieved,0.006,0.002
PageRank,0.013,0.014
frequencies,0.004,0.016
computing,0.018,0.04
P(B,0.011,0.015
marginal,0.094,0.059
computed,0.083,0.124
posterior,0.041,0.077
observations,0.009,0.011
superclass,0.023,0.119
subproblems,0.003,0.009
compute,0.015,0.004
indexing,0.011,0.011
algorithm,0.007,0.053
